기업명,연도,보고서유형,매출액,영업이익
종근당,2016,반기보고서,"407,634,598,539","18,830,521,450"
종근당,2016,사업보고서,"831,985,529,732","61,249,544,720"
종근당,2017,반기보고서,"420,707,254,809","33,094,684,925"
종근당,2017,사업보고서,"884,362,807,619","77,764,992,125"
신송홀딩스,2016,반기보고서,"107,505,681,062","-2,533,080,142"
신송홀딩스,2016,사업보고서,"206,895,556,130","-8,056,999,711"
신송홀딩스,2017,반기보고서,"104,968,709,468","-2,495,670,166"
신송홀딩스,2017,사업보고서,"291,761,499,391","-690,876,702"
아세아시멘트,2016,반기보고서,"215,668,435,966","20,020,402,369"
아세아시멘트,2016,사업보고서,"455,724,888,278","56,975,798,773"
아세아시멘트,2017,반기보고서,"226,728,646,265","23,042,877,165"
아세아시멘트,2017,사업보고서,"461,167,085,734","53,220,127,166"
현대로템,2016,반기보고서,"1,446,612,049,000","69,786,243,000"
현대로템,2016,사업보고서,"2,984,783,033,000","106,233,799,000"
현대로템,2017,반기보고서,"1,320,411,625,000","50,143,925,000"
현대로템,2017,사업보고서,"2,725,658,171,000","45,425,175,000"
한진칼,2016,반기보고서,"458,004,035,239","44,683,311,902"
한진칼,2016,사업보고서,"991,024,369,234","98,977,829,886"
한진칼,2017,반기보고서,"551,115,802,084","62,674,523,851"
한진칼,2017,사업보고서,"1,149,657,255,468","115,286,289,305"
NHN,2016,반기보고서,"414,240,056,087","19,534,679,912"
NHN,2016,사업보고서,"856,420,458,207","26,368,038,176"
NHN,2017,반기보고서,"451,627,267,639","19,141,343,208"
NHN,2017,사업보고서,"909,115,708,183","34,732,711,952"
DSR,2016,반기보고서,"100,476,424,690","6,909,243,058"
DSR,2016,사업보고서,"201,060,062,780","13,355,716,132"
DSR,2017,반기보고서,"111,556,744,212","8,417,202,280"
DSR,2017,사업보고서,"226,371,576,785","13,891,641,411"
동아에스티,2016,반기보고서,"308,066,535,931","21,276,924,005"
동아에스티,2016,사업보고서,"560,535,398,487","14,842,859,682"
동아에스티,2017,반기보고서,"265,839,617,123","8,510,814,412"
동아에스티,2017,사업보고서,"555,026,781,242","23,868,366,894"
지엠비코리아,2016,반기보고서,"247,354,700,753","12,622,371,432"
지엠비코리아,2016,사업보고서,"495,119,070,724","24,304,951,699"
지엠비코리아,2017,반기보고서,"240,377,206,011","10,075,777,173"
지엠비코리아,2017,사업보고서,"466,838,914,426","13,510,134,710"
LG헬로비전,2016,반기보고서,"558,828,965,333","49,178,953,888"
LG헬로비전,2016,사업보고서,"1,100,634,800,031","42,936,484,698"
LG헬로비전,2017,반기보고서,"550,931,902,735","36,711,073,478"
LG헬로비전,2017,사업보고서,"1,119,895,014,270","72,864,983,274"
동일고무벨트,2016,반기보고서,"117,398,714,248","11,683,723,506"
동일고무벨트,2016,사업보고서,"234,447,615,075","21,737,134,577"
동일고무벨트,2017,반기보고서,"135,308,314,353","-1,421,862,841"
동일고무벨트,2017,사업보고서,"259,785,016,089","6,725,265,855"
한국콜마,2016,반기보고서,"321,627,699,280","39,011,319,490"
한국콜마,2016,사업보고서,"667,469,194,150","73,429,956,726"
한국콜마,2017,반기보고서,"408,463,383,349","37,574,006,085"
한국콜마,2017,사업보고서,"821,615,970,194","66,976,058,780"
한국타이어앤테크놀로지,2016,반기보고서,"3,353,468,451,850","561,403,616,959"
한국타이어앤테크놀로지,2016,사업보고서,"6,621,762,292,163","1,103,227,758,751"
한국타이어앤테크놀로지,2017,반기보고서,"3,306,040,755,972","436,861,187,142"
한국타이어앤테크놀로지,2017,사업보고서,"6,812,857,982,362","793,431,771,814"
애경케미칼,2016,반기보고서,"411,075,067,282","37,096,086,659"
애경케미칼,2016,사업보고서,"867,743,146,138","75,010,272,185"
애경케미칼,2017,반기보고서,"464,755,144,988","38,132,207,651"
애경케미칼,2017,사업보고서,"959,818,485,063","75,130,959,075"
사조씨푸드,2016,반기보고서,"157,949,011,172","7,897,569,904"
사조씨푸드,2016,사업보고서,"323,397,153,421","15,450,298,560"
사조씨푸드,2017,반기보고서,"179,433,042,192","8,007,423,727"
사조씨푸드,2017,사업보고서,"378,216,804,298","15,796,204,721"
휴비스,2016,반기보고서,"574,032,950,791","10,093,410,207"
휴비스,2016,사업보고서,"1,143,501,108,380","15,073,251,203"
휴비스,2017,반기보고서,"610,234,198,405","7,857,658,785"
휴비스,2017,사업보고서,"1,280,979,427,250","29,573,245,328"
케이탑리츠,2016,반기보고서,"4,100,156,543","2,131,361,764"
케이탑리츠,2016,사업보고서,"9,139,022,479","5,318,764,540"
케이탑리츠,2017,반기보고서,"3,850,605,241","1,859,938,243"
케이탑리츠,2017,사업보고서,"8,564,156,392","4,969,529,901"
GS리테일,2016,반기보고서,"3,491,199,353,963","94,346,812,158"
GS리테일,2016,사업보고서,"7,402,005,717,696","218,058,673,531"
GS리테일,2017,반기보고서,"3,934,181,321,534","79,201,904,509"
GS리테일,2017,사업보고서,"8,266,567,147,681","165,713,643,962"
인터지스,2016,반기보고서,"240,334,926,091","8,693,055,943"
인터지스,2016,사업보고서,"465,397,240,260","10,729,022,827"
인터지스,2017,반기보고서,"253,606,269,611","9,159,568,954"
인터지스,2017,사업보고서,"501,965,188,059","14,905,238,482"
삼양사,2016,반기보고서,"1,007,125,000,000","95,273,000,000"
삼양사,2016,사업보고서,"2,000,885,000,000","147,335,000,000"
삼양사,2017,반기보고서,"1,001,933,000,000","41,549,000,000"
삼양사,2017,사업보고서,"2,041,175,000,000","88,885,000,000"
하나투어,2016,반기보고서,"288,627,307,995","6,778,497,271"
